drugbank_id	mcule_id
DB00215	MCULE-2438768682
DB00215	MCULE-3600224873
DB00215	MCULE-5882770916
DB00215	MCULE-8566721168
DB00215	MCULE-9546560466
DB00219	MCULE-1491988845
DB00219	MCULE-3000590480
DB00223	MCULE-2421243179
DB00223	MCULE-4580442571
DB00225	MCULE-4909487075
DB00225	MCULE-9788063146
DB00227	MCULE-4325649241
DB00227	MCULE-4740518260
DB00230	MCULE-3978936660
DB00230	MCULE-4620415947
DB00232	MCULE-4894694501
DB00233	MCULE-4841633599
DB00235	MCULE-8377851655
DB00238	MCULE-8608154492
DB00241	MCULE-4854044905
DB00243	MCULE-8182023610
DB00244	MCULE-5752745805
DB00245	MCULE-1020352947
DB00245	MCULE-4736181346
DB00245	MCULE-5276546081
DB00249	MCULE-3556782579
DB00250	MCULE-7294380437
DB00252	MCULE-2376673346
DB00254	MCULE-1429067456
DB00254	MCULE-2281788666
DB00254	MCULE-4368118692
DB00254	MCULE-8555113623
DB00254	MCULE-9451678404
DB00255	MCULE-1184803692
DB00255	MCULE-3156396266
DB00257	MCULE-6862012558
DB00258	MCULE-5396813937
DB00258	MCULE-8295936189
DB00259	MCULE-8746683155
DB00260	MCULE-3159218372
DB00260	MCULE-4212827696
DB00260	MCULE-4286940154
DB00260	MCULE-6014142329
DB00262	MCULE-3131772074
DB00263	MCULE-3522661051
DB00264	MCULE-4106696689
DB00264	MCULE-7999715986
DB00265	MCULE-5608418902
DB00266	MCULE-8095183287
DB00267	MCULE-9017914180
DB00271	MCULE-8826505259
DB00273	MCULE-9403222429
DB00277	MCULE-8236489917
DB00280	MCULE-8866988334
DB00281	MCULE-9294700940
DB00282	MCULE-4373491291
DB00284	MCULE-2053937515
DB00284	MCULE-5264098551
DB00285	MCULE-5156532617
DB00285	MCULE-6632261838
DB00286	MCULE-3833394421
DB00291	MCULE-2575006904
DB00292	MCULE-1817647743
DB00292	MCULE-8274432743
DB00292	MCULE-9182197758
DB00293	MCULE-4162722587
DB00297	MCULE-2286784276
DB00297	MCULE-5414144502
DB00300	MCULE-7880804486
DB00302	MCULE-6087008336
DB00309	MCULE-4530107640
DB00309	MCULE-7368625095
DB00310	MCULE-3653099088
DB00310	MCULE-5033624674
DB00310	MCULE-6661021422
DB00311	MCULE-3766215049
DB00313	MCULE-7136317196
DB00315	MCULE-8433728767
DB00316	MCULE-3844920617
DB00317	MCULE-6951584187
DB00318	MCULE-2327203253
DB00319	MCULE-1710708785
DB00319	MCULE-3947206042
DB00319	MCULE-4673734976
DB00319	MCULE-6569523931
DB00319	MCULE-6736608092
DB00319	MCULE-6860214923
DB00319	MCULE-7023487904
DB00319	MCULE-7318373912
DB00319	MCULE-8962332504
DB00320	MCULE-3057253221
DB00321	MCULE-3537115467
DB00321	MCULE-6119641097
DB00322	MCULE-4401224773
DB00322	MCULE-4890053166
DB00324	MCULE-2724365464
DB00326	MCULE-5396813937
DB00328	MCULE-5636486088
DB00330	MCULE-2494035860
DB00330	MCULE-3233367710
DB00330	MCULE-3794568832
DB00330	MCULE-4540759428
DB00330	MCULE-7779325676
DB00330	MCULE-9663372083
DB00331	MCULE-7393156510
DB00332	MCULE-1442325143
DB00332	MCULE-6124492894
DB00332	MCULE-9149653773
DB00335	MCULE-3302522046
DB00335	MCULE-4852016526
DB00335	MCULE-9148694071
DB00336	MCULE-2146553194
DB00336	MCULE-5485227436
DB00338	MCULE-3224208952
DB00339	MCULE-6846697749
DB00341	MCULE-5295925191
DB00341	MCULE-6510783794
DB00341	MCULE-8668839822
DB00343	MCULE-4757300773
DB00343	MCULE-9931403933
DB00345	MCULE-9532170257
DB00346	MCULE-9094645643
DB00347	MCULE-4761457520
DB00348	MCULE-6109734568
DB00351	MCULE-5182543895
DB00351	MCULE-8861434212
DB00352	MCULE-5787306636
DB00356	MCULE-3638156868
DB00357	MCULE-5626204648
DB00357	MCULE-7766150083
DB00357	MCULE-9118268281
DB00358	MCULE-2230999659
DB00358	MCULE-2465134793
DB00359	MCULE-4577338719
DB00364	MCULE-9699231474
DB00364	MCULE-9788063146
DB00367	MCULE-1283162506
DB00367	MCULE-6301437684
DB00368	MCULE-2284044831
DB00368	MCULE-2408937172
DB00368	MCULE-6262207923
DB00370	MCULE-1174883554
DB00370	MCULE-1894397344
DB00373	MCULE-6334087691
DB00373	MCULE-8949998318
DB00375	MCULE-2316124162
DB00375	MCULE-6957304600
DB00375	MCULE-8144448889
DB00375	MCULE-8710235870
DB00375	MCULE-9759519789
DB00376	MCULE-6065307656
DB00376	MCULE-6125708050
DB00377	MCULE-1579473436
DB00377	MCULE-6908505708
DB00378	MCULE-3199930207
DB00379	MCULE-1930292316
DB00379	MCULE-4507699259
DB00381	MCULE-8264151664
DB00382	MCULE-3628803328
DB00382	MCULE-7658040912
DB00382	MCULE-9231800856
DB00384	MCULE-5832721534
DB00388	MCULE-1962587004
DB00388	MCULE-6796051320
DB00389	MCULE-1170558032
DB00390	MCULE-8165628529
DB00390	MCULE-8462494806
DB00391	MCULE-7506797476
DB00393	MCULE-4717687158
DB00394	MCULE-2307334384
DB00395	MCULE-3695657564
DB00396	MCULE-8417547529
DB00398	MCULE-6112506696
DB00400	MCULE-1119099821
DB00400	MCULE-1983595404
DB00400	MCULE-5488425907
DB00400	MCULE-8477977262
DB00400	MCULE-8628846302
DB00400	MCULE-8909987576
DB00401	MCULE-5009799152
DB00402	MCULE-3167182309
DB00402	MCULE-4232092935
DB00402	MCULE-4633960136
DB00402	MCULE-5099990703
DB00402	MCULE-8178167281
DB00404	MCULE-1215564244
DB00406	MCULE-6095016251
DB00406	MCULE-8035197748
DB00411	MCULE-5642570831
DB00411	MCULE-7728164114
DB00411	MCULE-9644162883
DB00412	MCULE-6489966185
DB00412	MCULE-8293284864
DB00413	MCULE-1323845397
DB00413	MCULE-4233228077
DB00413	MCULE-6778479529
DB00414	MCULE-3744173137
DB00415	MCULE-9165243575
DB00416	MCULE-6152801555
DB00417	MCULE-1027273107
DB00417	MCULE-1403447086
DB00417	MCULE-4295291212
DB00417	MCULE-4516844426
DB00417	MCULE-4533801996
DB00417	MCULE-4931043539
DB00417	MCULE-7617487411
DB00417	MCULE-8587207607
DB00417	MCULE-9997080204
DB00421	MCULE-4394091100
DB00421	MCULE-7750563158
DB00424	MCULE-1764209130
DB00426	MCULE-6850246103
DB00427	MCULE-1389248075
DB00427	MCULE-7512792589
DB00429	MCULE-7300085951
DB00434	MCULE-3352282545
DB00437	MCULE-5186178136
DB00438	MCULE-5427330412
DB00438	MCULE-5605310919
DB00438	MCULE-6690139813
DB00438	MCULE-8901712338
DB00438	MCULE-9068634681
DB00440	MCULE-6670904388
DB00443	MCULE-4773827191
DB00443	MCULE-8449904782
DB00445	MCULE-1987806380
DB00445	MCULE-4188577717
DB00446	MCULE-1561770225
DB00446	MCULE-5311202412
DB00446	MCULE-5585315026
DB00446	MCULE-7778960570
DB00446	MCULE-8814562235
DB00448	MCULE-8446262134
DB00451	MCULE-5870225988
DB00451	MCULE-8611691549
DB00455	MCULE-5073177964
DB00456	MCULE-2780065478
