drugbank_id	kegg_ligand_id
DB00867	C07239
DB00869	C06969
DB00870	C07320
DB00871	C07129
DB00877	C07909
DB00878	C06902
DB00879	C12599
DB00880	C07461
DB00881	C07340
DB00881	C07398
DB00882	C06917
DB00882	C08161
DB00883	C07456
DB00884	C08233
DB00888	C07115
DB00889	C07023
DB00890	C08090
DB00894	C02197
DB00895	C00047
DB00895	C00739
DB00895	C16440
DB00898	C00469
DB00899	C08021
DB00900	C06953
DB00901	C06853
DB00902	C07175
DB00904	C07325
DB00906	C07503
DB00908	C06526
DB00908	C06527
DB00909	C07504
DB00910	C08127
DB00912	C07670
DB00914	C07673
DB00915	C06818
DB00916	C07203
DB00917	C00584
DB00919	C02078
DB00919	C11619
DB00921	C08007
DB00923	C06884
DB00924	C06931
DB00925	C07435
DB00925	C07436
DB00928	C11262
DB00933	C07143
DB00934	C07107
DB00935	C07363
DB00936	C00805
DB00937	C06954
DB00938	C07241
DB00939	C02996
DB00939	C07117
DB00940	C07849
DB00943	C07207
DB00945	C01405
DB00948	C07221
DB00949	C07501
DB00950	C06999
DB00951	C07054
DB00952	C07792
DB00956	C08024
DB00958	C00014
DB00958	C01342
DB00960	C07445
DB00961	C07528
DB00962	C07484
DB00964	C07668
DB00966	C07710
DB00968	C07194
DB00970	C06770
DB00972	C07768
DB00974	C00284
DB00976	C12009
DB00978	C07078
DB00978	C08053
DB00979	C06932
DB00981	C06535
DB00982	C00777
DB00982	C15493
DB00983	C07805
DB00984	C08155
DB00985	C06960
DB00985	C07784
DB00985	C14015
DB00987	C00475
DB00987	C02961
DB00988	C03758
DB00989	C11766
DB00991	C07356
DB00993	C06837
DB00994	C01737
DB00994	C15652
DB00997	C01661
DB00997	C11230
DB00999	C07041
DB01000	C12766
DB01001	C11770
DB01002	C07529
DB01002	C07887
DB01003	C06928
DB01005	C07044
DB01006	C08163
DB01007	C08082
DB01008	C06862
DB01009	C01716
DB01010	C06976
DB01011	C07205
DB01015	C07315
DB01016	C07022
DB01017	C07225
DB01018	C07037
DB01019	C06850
DB01019	C08202
DB01020	C07714
DB01021	C07767
DB01022	C02059
DB01028	C07517
DB01029	C07469
DB01030	C11158
DB01031	C07832
DB01032	C07372
DB01033	C01756
DB01033	C02380
DB01034	C12058
DB01035	C07401
DB01036	C07750
DB01037	C07245
DB01039	C07586
DB01040	C05123
DB01041	C07910
DB01042	C07122
DB01042	C19256
DB01042	C19442
DB01043	C13736
DB01044	C07661
DB01045	C06688
DB01046	C13707
DB01048	C07624
DB01049	C11145
DB01050	C01588
DB01051	C05080
DB01051	C12609
DB01053	C05551
DB01054	C07713
DB01055	C04771
DB01056	C07142
DB01057	C06975
DB01058	C07367
DB01059	C06687
DB01060	C06827
DB01061	C06839
DB01062	C07360
DB01064	C07056
DB01064	C11703
DB01065	C01598
DB01069	C07404
DB01070	C06957
DB01071	C12755
DB01075	C06960
DB01075	C07784
DB01075	C14015
DB01076	C06834
DB01077	C07736
DB01080	C07500
DB01081	C07872
DB01082	C00413
DB01084	C07785
DB01085	C07474
DB01086	C07527
DB01087	C07627
DB01089	C06541
DB01091	C08067
DB01091	C12490
DB01092	C01443
DB01093	C11143
DB01094	C01709
DB01095	C07014
DB01096	C07341
DB01097	C07905
DB01100	C07566
DB01101	C12650
DB01103	C07339
DB01104	C07246
DB01105	C07247
DB01108	C12580
DB01110	C08070
DB01112	C06894
DB01112	C08108
DB01113	C06533
DB01114	C06905
DB01114	C06946
DB01114	C07780
DB01114	C07783
DB01115	C07266
DB01116	C07174
DB01117	C06835
DB01118	C06823
DB01119	C06949
DB01121	C07428
DB01122	C07773
DB01123	C11181
DB01123	C11273
DB01124	C07148
DB01127	C08068
DB01127	C08069
DB01128	C08160
DB01129	C07864
DB01131	C07631
DB01132	C07675
DB01133	C08141
DB01135	C07549
DB01136	C06875
DB01137	C07321
DB01137	C07660
DB01138	C07317
DB01139	C06896
DB01139	C08101
DB01140	C06878
DB01141	C15819
DB01142	C06971
DB01143	C06819
DB01144	C07459
DB01147	C06923
DB01147	C14010
DB01148	C07809
DB01149	C07256
DB01150	C06888
DB01151	C06943
DB01152	C06690
DB01154	C07846
DB01156	C06860
DB01157	C11154
DB01158	C06855
DB01159	C07515
DB01160	C00639
DB01160	C02314
DB01160	C05959
DB01160	C07182
DB01160	C12786
DB01160	C13809
DB01161	C07877
DB01162	C07127
DB01164	C00076
DB01164	C00698
DB01164	C01327
DB01164	C08130
DB01165	C07321
DB01165	C07660
DB01168	C07376
DB01168	C07402
DB01170	C07036
DB01172	C01822
DB01172	C08046
DB01173	C07935
DB01174	C07434
DB01175	C07572
DB01176	C06930
DB01179	C10871
DB01179	C10874
DB01180	C06540
DB01181	C07047
DB01182	C07381
DB01183	C07252
DB01186	C07425
DB01189	C07519
DB01190	C06914
DB01190	C13684
DB01191	C06996
DB01192	C08019
DB01193	C06803
DB01193	C07677
DB01194	C07760
DB01195	C07001
DB01196	C11228
DB01199	C07547
DB01200	C06856
DB01201	C08059
DB01202	C07841
DB01204	C11195
DB01205	C07825
DB01206	C07079
DB01208	C07662
DB01209	C08010
DB01210	C04883
DB01210	C07914
DB01210	C08228
DB01211	C06912
DB01212	C06683
DB01213	C07837
DB01214	C07915
DB01214	C13591
DB01215	C06981
DB01217	C08159
DB01218	C07634
DB01219	C06939
DB01219	C07933
DB01221	C07525
DB01221	C07843
DB01223	C07130
DB01224	C07397
DB01226	C07550
DB01227	C08012
DB01228	C06978
DB01229	C07394
DB01230	C07899
DB01231	C06961
DB01232	C12560
DB01233	C07868
DB01234	C15643
DB01235	C00355
DB01235	C06870
DB01236	C07520
DB01238	C12564
DB01239	C07953
DB01241	C07020
DB01242	C06918
DB01244	C06847
DB01245	C11733
DB01246	C07172
DB01248	C11231
DB01250	C07323
DB01252	C13326
DB01253	C07543
DB01265	C00214
DB01274	C07805
DB01275	C07040
DB01282	C18365
DB01291	C07807
DB01294	C00001
DB01294	C00805
DB01294	C01328
DB01294	C07870
DB01296	C00329
DB01296	C02262
DB01296	C03570
DB01296	C08349
DB01297	C11696
DB01299	C07630
DB01301	C12933
DB01303	C00114
DB01320	C07840
DB01321	C12662
DB01322	C07611
DB01324	C07766
DB01325	C07342
DB01326	C06879
