drugbank_id	molport_id
DB00341	MolPort-003-939-603
DB00341	MolPort-003-983-419
DB00341	MolPort-005-935-334
DB00343	MolPort-000-740-573
DB00343	MolPort-001-934-055
DB00343	MolPort-003-931-523
DB00343	MolPort-023-220-208
DB00343	MolPort-027-564-878
DB00346	MolPort-006-391-851
DB00346	MolPort-027-564-897
DB00350	MolPort-003-666-236
DB00350	MolPort-027-836-019
DB00351	MolPort-000-835-138
DB00351	MolPort-002-507-159
DB00351	MolPort-030-042-316
DB00352	MolPort-000-929-106
DB00352	MolPort-003-665-495
DB00354	MolPort-006-110-855
DB00355	MolPort-002-676-388
DB00355	MolPort-003-666-588
DB00355	MolPort-003-886-345
DB00355	MolPort-008-266-664
DB00355	MolPort-028-765-916
DB00356	MolPort-006-110-468
DB00358	MolPort-005-933-138
DB00358	MolPort-006-170-692
DB00358	MolPort-023-278-202
DB00359	MolPort-004-964-575
DB00360	MolPort-003-959-732
DB00361	MolPort-003-986-338
DB00361	MolPort-006-823-869
DB00361	MolPort-035-395-882
DB00363	MolPort-001-728-041
DB00364	MolPort-003-926-090
DB00364	MolPort-023-220-409
DB00366	MolPort-003-666-172
DB00367	MolPort-003-666-244
DB00367	MolPort-005-933-833
DB00368	MolPort-001-785-862
DB00368	MolPort-003-932-051
DB00368	MolPort-003-932-087
DB00368	MolPort-005-937-316
DB00368	MolPort-008-155-870
DB00369	MolPort-008-266-495
DB00369	MolPort-027-720-934
DB00370	MolPort-002-507-957
DB00370	MolPort-003-849-234
DB00372	MolPort-006-109-341
DB00373	MolPort-002-545-241
DB00373	MolPort-002-943-640
DB00373	MolPort-003-666-291
DB00373	MolPort-005-934-233
DB00373	MolPort-020-065-631
DB00375	MolPort-000-146-239
DB00375	MolPort-000-159-810
DB00375	MolPort-001-779-799
DB00375	MolPort-003-939-473
DB00376	MolPort-003-666-299
DB00377	MolPort-005-932-622
DB00377	MolPort-005-978-164
DB00377	MolPort-023-220-281
DB00378	MolPort-002-520-709
DB00378	MolPort-005-940-383
DB00378	MolPort-035-394-907
DB00379	MolPort-003-666-510
DB00379	MolPort-008-645-532
DB00379	MolPort-019-995-734
