drugbank_id	iuphar_id
DB00477	83
DB00480	7331
DB00481	2820
DB00482	2892
DB00483	356
DB00484	520
DB00484	5386
DB00488	7112
DB00489	7297
DB00490	36
DB00491	4842
DB00492	6456
DB00494	6647
DB00495	4825
DB00496	319
DB00496	321
DB00497	7093
DB00498	6838
DB00499	6943
DB00500	7311
DB00501	1231
DB00502	86
DB00504	7209
DB00508	4330
DB00509	2635
DB00509	4627
DB00509	6951
DB00511	6794
DB00513	6574
DB00514	6953
DB00519	6453
DB00521	7142
DB00523	2644
DB00523	2645
DB00523	5383
DB00523	7600
DB00524	4838
DB00526	4538
DB00527	7159
DB00529	5497
DB00530	4920
DB00531	7154
DB00532	7223
DB00533	2893
DB00536	4783
DB00539	4325
DB00540	2404
DB00541	6785
DB00542	6374
DB00543	201
DB00544	4789
DB00547	7067
DB00548	7484
DB00549	3322
DB00550	6650
DB00552	4805
DB00554	7273
DB00555	2622
DB00557	7199
DB00559	3494
DB00561	7169
DB00562	7125
DB00563	4674
DB00563	4815
DB00564	5339
DB00567	4832
DB00569	6819
DB00570	6851
DB00571	564
DB00571	63
DB00571	7596
DB00572	320
DB00573	4820
DB00574	4613
DB00575	516
DB00577	4824
DB00579	4591
DB00579	4797
DB00580	2894
DB00583	4780
DB00584	6322
DB00585	7248
DB00586	2714
DB00588	7080
DB00589	43
DB00590	7170
DB00591	7077
DB00593	7182
DB00594	2421
DB00598	7207
DB00599	2579
DB00600	6830
DB00602	2373
DB00604	240
DB00605	5425
DB00606	4167
DB00608	5535
DB00610	7229
DB00611	7591
DB00612	7129
DB00616	6492
DB00617	7261
DB00619	5687
DB00620	2870
DB00621	7092
DB00622	2559
DB00623	204
DB00624	2858
DB00627	1588
DB00627	1594
DB00628	7548
DB00629	5443
DB00630	3141
DB00631	6802
DB00633	521
DB00635	7096
DB00636	2667
DB00637	2603
DB00640	2844
DB00640	4806
DB00641	2955
DB00642	6688
DB00642	6837
DB00645	7173
DB00647	7593
DB00648	6957
DB00650	4816
DB00650	6690
DB00651	7070
DB00652	1606
DB00652	6683
DB00654	1961
DB00655	2818
DB00656	213
DB00657	3990
DB00659	7106
DB00660	7609
DB00661	2406
DB00662	7614
DB00663	7075
DB00665	2864
DB00667	1204
DB00667	1247
DB00668	4450
DB00668	479
DB00668	509
DB00669	119
DB00669	54
DB00670	3272
DB00670	328
DB00672	6801
DB00673	3490
DB00674	6693
DB00675	1016
DB00675	5384
DB00678	3941
DB00678	590
DB00679	100
DB00680	7244
DB00682	6853
DB00683	3342
DB00687	2873
DB00688	6831
DB00690	7188
DB00691	6571
DB00692	502
DB00694	7063
DB00695	4839
DB00696	149
DB00697	7308
DB00700	2876
DB00703	6828
DB00704	1639
DB00706	488
DB00708	3534
DB00710	3059
DB00712	4194
DB00712	7340
DB00714	33
DB00715	4561
DB00715	4790
DB00716	7607
DB00717	2880
DB00719	7119
DB00721	4291
DB00722	6360
DB00723	483
DB00724	5003
DB00726	7317
DB00727	7053
DB00728	4003
DB00730	7304
DB00731	6833
DB00733	4652
DB00733	7597
DB00734	96
DB00736	4279
DB00736	5488
DB00737	2757
DB00740	2326
DB00741	2868
DB00744	5297
DB00745	7555
DB00747	330
DB00748	7139
DB00749	7185
DB00750	7276
DB00751	7176
DB00752	5281
DB00753	2505
DB00754	7183
DB00755	2644
DB00755	2645
DB00755	5383
DB00755	7600
DB00758	7150
DB00762	6823
DB00763	6649
DB00765	5094
DB00765	6956
DB00767	7124
DB00768	7249
DB00770	1882
DB00771	351
DB00771	366
DB00773	6815
DB00774	7197
DB00775	6586
DB00776	7254
DB00777	7284
DB00778	1465
DB00780	7266
DB00782	329
DB00783	1012
DB00783	1013
DB00784	2593
DB00786	5220
DB00787	4829
DB00788	5230
DB00790	6367
DB00791	7621
DB00792	7318
DB00794	5338
DB00795	4840
DB00796	587
DB00796	6907
DB00797	7310
DB00798	2427
DB00799	6952
DB00800	933
DB00800	939
DB00800	985
DB00801	7195
DB00802	7108
DB00804	355
DB00806	7095
DB00807	7283
DB00808	7203
DB00809	7319
DB00810	7128
DB00811	6842
DB00812	7270
DB00813	1626
DB00814	7220
DB00816	7250
DB00818	5464
DB00819	6792
DB00820	7299
DB00821	7141
DB00822	7168
DB00823	7072
DB00825	2430
DB00825	2471
DB00829	3364
DB00831	214
DB00832	7612
DB00834	2805
DB00835	7133
DB00835	7588
DB00836	7215
DB00839	6847
DB00841	535
DB00842	7253
DB00843	6599
DB00844	1663
DB00847	7440
DB00848	7210
DB00850	209
DB00852	556
DB00852	7286
DB00853	7301
DB00854	7595
DB00855	4784
DB00859	7264
DB00860	2866
DB00861	7162
DB00862	7320
DB00863	1234
DB00864	6784
DB00866	563
DB00867	7294
DB00868	7611
DB00869	6810
DB00870	7298
DB00871	560
DB00872	2203
DB00874	7617
DB00876	3940
DB00876	588
DB00877	6031
DB00880	4835
DB00881	6350
DB00882	4159
DB00882	7619
DB00883	7051
DB00884	3176
DB00885	7329
DB00887	4837
DB00888	7218
DB00889	2292
DB00889	2300
DB00890	7160
DB00892	7123
DB00894	7303
DB00895	4681
DB00895	724
DB00896	7099
DB00897	7313
DB00898	2299
DB00899	7292
DB00900	4833
DB00902	7231
DB00903	7179
DB00904	2290
DB00905	1958
DB00906	4685
DB00906	4818
DB00907	2286
DB00908	2342
DB00908	2510
DB00909	7047
DB00910	2791
DB00912	6841
DB00913	7115
DB00915	4128
DB00917	1883
DB00917	1916
DB00918	7110
DB00920	7206
DB00921	1670
DB00924	7152
DB00925	7268
DB00926	7599
DB00927	7074
DB00928	6796
DB00929	1936
DB00933	7227
DB00934	2402
DB00935	124
DB00936	4306
DB00937	7161
DB00938	559
DB00939	7219
DB00943	4828
DB00945	4139
DB00946	6839
DB00947	1015
DB00949	5473
DB00950	4819
DB00952	45
DB00953	51
DB00956	7081
DB00957	7091
DB00959	7088
DB00960	127
DB00960	91
DB00961	7224
DB00962	4345
DB00963	7131
DB00964	7117
DB00966	592
DB00967	7157
DB00968	5217
DB00969	2296
DB00972	7121
DB00973	6816
DB00975	4807
DB00977	7071
DB00979	7153
DB00980	1356
DB00981	6598
DB00982	2644
DB00982	2645
DB00982	5383
DB00982	7600
DB00983	3465
DB00983	7479
DB00985	1224
DB00986	7459
DB00987	4728
DB00987	4827
DB00988	940
DB00989	6602
DB00990	7073
DB00991	7252
DB00993	7120
DB00994	709
DB00995	6306
DB00996	5483
DB00997	7069
DB00998	7191
DB00999	4836
DB01000	4817
DB01001	558
DB01002	2397
DB01002	7211
DB01003	7608
DB01005	6822
DB01006	5209
DB01008	7136
DB01009	4795
DB01011	5224
DB01012	3308
DB01013	7062
DB01016	2414
DB01018	522
DB01019	297
DB01020	7052
DB01021	7314
DB01023	4190
DB01024	6832
DB01025	7113
DB01026	2568
DB01028	7234
DB01029	589
DB01029	6908
DB01030	7101
DB01031	7325
DB01032	4357
DB01033	7226
DB01035	4811
DB01036	360
DB01037	6639
DB01039	7186
DB01041	7327
DB01042	7620
DB01043	4253
DB01045	2765
DB01046	4242
DB01047	7078
DB01050	2713
DB01053	4796
DB01054	2334
DB01056	7309
DB01062	359
DB01064	536
DB01065	1357
DB01065	224
DB01067	6821
DB01068	6963
DB01069	7282
DB01075	1224
DB01076	2949
DB01077	7184
DB01078	6806
DB01080	4821
DB01081	7164
DB01083	5277
DB01084	7174
DB01085	305
DB01089	7064
DB01092	4826
DB01095	2951
DB01097	6825
DB01098	2954
DB01098	2989
DB01100	90
DB01101	6799
DB01104	4798
DB01105	2586
DB01106	1586
DB01107	7238
DB01108	6850
DB01110	2449
DB01114	1210
DB01114	1213
DB01114	6976
DB01115	2514
DB01118	2566
DB01119	2409
DB01121	7265
DB01124	6848
DB01125	6960
DB01126	7457
DB01127	2446
DB01128	2863
DB01129	7290
DB01130	7605
DB01132	2694
DB01133	7604
DB01136	551
DB01138	5826
DB01140	4831
DB01142	1225
DB01142	3958
DB01144	6807
DB01146	7165
DB01148	7187
DB01149	7247
DB01151	2399
DB01154	7305
DB01156	7135
DB01157	7613
DB01158	7130
DB01159	2401
DB01160	1884
DB01160	1957
DB01160	5129
DB01160	7328
DB01161	7145
DB01162	7302
DB01166	7148
DB01168	7278
DB01170	7194
DB01171	7428
DB01173	7251
DB01174	2804
DB01175	4621
DB01175	7177
DB01175	7547
DB01176	7151
DB01177	7083
DB01178	7323
DB01179	7873
DB01180	7098
DB01181	7201
DB01182	2561
DB01183	1638
DB01183	1668
DB01183	1676
DB01184	965
DB01185	2861
DB01186	48
DB01189	7156
DB01191	4613
DB01192	7094
DB01193	7107
DB01194	6797
DB01195	2560
DB01197	5158
DB01198	7429
DB01198	7430
DB01199	2294
DB01200	35
DB01202	6826
DB01203	554
DB01204	7242
DB01205	4192
DB01205	4367
DB01206	7214
DB01210	570
DB01212	5326
DB01214	7239
DB01215	7550
DB01216	6818
DB01217	5137
DB01219	4172
DB01221	4233
DB01222	7434
DB01223	413
DB01224	50
DB01226	7243
DB01227	7212
DB01229	2770
DB01231	7163
DB01232	4813
DB01233	241
DB01234	2768
DB01234	3447
DB01234	7061
DB01235	3639
DB01236	7296
DB01237	7132
DB01238	34
DB01240	1915
DB01241	3439
DB01242	2398
DB01244	2337
DB01246	7237
DB01247	7204
DB01248	6809
DB01253	148
DB01254	5678
DB01255	7213
DB01259	5692
DB01260	7066
DB01261	6286
DB01262	6805
DB01265	4718
DB01267	7258
DB01268	5713
DB01273	5459
DB01274	3465
DB01274	7479
DB01275	7326
DB01280	7090
DB01283	2897
DB01288	557
DB01291	7272
DB01294	4306
DB01296	4535
DB01297	555
DB01303	4551
DB01320	7190
DB01324	7274
DB01325	7289
DB01333	4830
DB01337	4001
DB01339	4002
DB01340	6459
DB01342	6896
DB01346	2342
DB01346	2510
DB01346	2804
DB01347	6899
DB01348	6575
DB01349	6898
DB01357	7087
DB01359	7263
DB01364	556
DB01364	7286
DB01365	7222
DB01366	3464
DB01367	6641
DB01375	4084
DB01375	4635
DB01375	727
DB01388	2522
DB01392	102
DB01392	136
DB01392	223
DB01392	5345
DB01393	2668
DB01394	2367
DB01395	2874
DB01396	6782
DB01397	4306
DB01398	4306
DB01401	4306
DB01401	4551
DB01403	7603
DB01406	6942
DB01408	6601
DB01409	367
DB01410	7469
DB01420	7100
DB01427	7202
DB01433	7212
DB01437	7192
DB01438	7616
DB01440	4711
DB01445	144
DB01454	4574
DB01462	1624
DB01484	155
DB01484	163
DB01488	141
DB01493	6948
DB01494	4550
DB01497	1625
DB01501	7592
DB01522	7212
DB01528	164
DB01536	2860
DB01544	4193
DB01544	4360
DB01548	1612
DB01548	1617
DB01551	7594
DB01555	7212
DB01565	1616
DB01576	2146
DB01576	2147
DB01576	4804
DB01577	4803
DB01580	7255
DB01583	2634
DB01583	2635
DB01583	4627
DB01583	6951
DB01586	608
DB01586	7104
DB01588	7275
DB01589	7288
DB01590	5889
DB01591	3637
DB01591	7483
DB01597	5166
DB01599	7277
DB01610	4716
DB01611	7198
DB01618	207
DB01620	7267
DB01621	7557
DB01623	212
DB01624	7559
DB01626	7262
DB01628	2896
DB01629	4614
DB01642	4640
DB01645	2826
DB01656	6962
DB01660	1714
DB01660	5406
DB01686	5229
DB01690	5454
DB01696	4731
DB01708	2370
DB01713	4730
DB01729	4222
DB01729	4223
DB01739	3311
DB01744	2422
DB01746	3312
DB01752	5265
DB01758	5117
DB01762	4522
DB01772	3502
DB01782	5273
DB01783	4668
DB01785	3049
DB01786	4542
DB01786	4543
DB01786	4678
DB01786	720
DB01790	5262
DB01812	1718
DB01819	4692
DB01861	1782
DB01861	1783
DB01863	5202
DB01864	4207
DB01880	5155
DB01889	2761
DB01892	2764
DB01898	4573
DB01900	5481
DB01914	4719
DB01917	2388
DB01931	2361
DB01941	2808
DB01942	4540
DB01950	5979
DB01954	5260
DB01954	5313
DB01956	2379
DB01972	5123
DB01979	4640
DB01990	2738
DB01992	3044
DB02007	4647
DB02010	346
DB02016	6710
DB02031	4675
DB02032	5158
DB02044	5102
DB02056	1881
DB02056	1891
DB02057	4077
DB02057	4131
DB02070	5799
DB02079	5136
DB02097	4728
DB02097	4827
DB02098	1717
DB02100	4640
DB02110	4349
DB02123	4545
DB02123	4715
DB02132	7418
DB02134	4557
DB02152	336
DB02153	4695
DB02153	5447
DB02169	5349
DB02174	4633
DB02174	4634
DB02174	723
DB02176	1058
DB02189	1709
DB02196	1779
DB02196	4741
DB02261	1831
DB02261	1833
DB02261	1834
DB02262	4690
DB02266	2447
DB02266	4191
DB02267	5324
DB02300	2778
DB02302	5271
DB02312	4647
DB02315	2347
DB02329	4151
DB02332	5184
DB02338	3041
DB02347	4141
DB02351	6470
DB02355	3407
DB02379	4536
DB02379	4646
DB02379	4650
DB02381	5091
DB02383	7404
DB02406	1061
DB02421	1782
DB02421	1783
DB02431	1741
DB02452	5505
DB02456	5047
DB02485	4663
DB02507	6853
DB02509	3215
DB02513	2499
DB02515	4740
DB02517	1369
DB02517	4708
DB02527	2352
DB02527	5096
DB02530	1067
DB02530	5410
DB02531	1060
DB02533	5135
DB02546	6852
DB02547	4578
DB02552	3051
DB02556	3313
DB02556	5797
DB02567	5699
DB02577	4349
DB02587	5190
DB02596	4093
DB02596	5405
DB02637	5236
DB02644	6525
DB02648	4780
DB02655	3309
DB02655	4169
DB02655	4237
DB02655	4534
DB02655	4698
DB02655	6511
DB02656	6004
DB02659	609
DB02665	5281
DB02678	4535
DB02691	4544
DB02692	5276
DB02712	7415
DB02733	7806
DB02736	4661
DB02745	4566
DB02750	4537
DB02750	4782
DB02751	5325
DB02758	4709
DB02772	5411
DB02789	2376
DB02791	4558
DB02818	4071
DB02852	4181
DB02853	3314
DB02853	4676
DB02857	4567
DB02877	2646
DB02893	4814
DB02900	4647
DB02901	2856
DB02901	3455
DB02902	1719
DB02925	4742
DB02930	1714
DB02930	5406
DB02932	2863
DB02942	5099
DB02959	4671
DB02961	4721
DB02961	4722
DB02966	4070
DB02967	5335
DB02995	5507
DB02998	2857
DB02998	3457
DB02999	1370
DB02999	1372
DB03041	1784
DB03044	5668
DB03052	5175
DB03059	3039
DB03066	2932
DB03066	2934
DB03068	4729
DB03083	5985
DB03088	4703
DB03089	3309
DB03089	4169
DB03089	4237
DB03089	4534
DB03089	4698
DB03089	6511
DB03106	4495
DB03106	4645
DB03106	4648
DB03106	4649
DB03107	2365
DB03127	7566
DB03128	294
DB03144	5227
DB03147	5184
DB03148	5092
DB03158	5098
DB03166	1058
DB03172	4755
DB03176	2638
DB03193	3377
DB03201	4537
DB03201	4782
DB03203	2452
DB03206	4642
DB03222	1760
DB03229	4656
DB03234	6709
DB03247	5185
DB03252	4681
DB03252	724
DB03256	4816
DB03256	6690
DB03310	6835
DB03319	4140
DB03322	564
DB03322	63
DB03322	7596
DB03374	6651
DB03381	6627
DB03397	1779
DB03397	4741
DB03401	4222
DB03401	4223
DB03403	5047
DB03416	4580
DB03419	4560
DB03424	5151
DB03425	4075
DB03425	4317
DB03428	6045
DB03432	6610
DB03435	1749
DB03451	2775
DB03461	3045
DB03462	4581
DB03478	6333
DB03496	5680
DB03499	2480
DB03501	1782
DB03501	1783
DB03518	3042
DB03518	3056
DB03523	7406
DB03528	2844
DB03528	4806
DB03542	5203
DB03542	5204
DB03542	5205
DB03566	2390
DB03568	1059
DB03575	4282
DB03587	6303
DB03590	5021
DB03600	5532
DB03604	2637
DB03606	5260
DB03606	5313
DB03619	610
DB03640	4497
DB03661	5329
DB03685	5125
DB03695	7414
DB03696	2746
DB03700	4785
DB03704	6922
DB03719	377
DB03719	425
DB03754	7328
DB03756	1051
DB03760	6738
DB03766	1062
DB03777	5193
DB03783	7402
DB03784	284
DB03785	2975
DB03785	3012
DB03793	4565
DB03796	1055
DB03810	4573
DB03839	4791
DB03843	4196
DB03849	7407
DB03852	2464
DB03856	5176
DB03866	5245
DB03880	5145
DB03894	6641
DB03902	4538
DB03904	4539
DB03909	4236
DB03910	5246
DB03918	5276
DB03921	6050
DB03929	4171
DB03929	726
DB03934	4349
DB03943	4533
DB03955	4642
DB03956	4222
DB03956	4223
DB03989	4536
DB03989	4646
DB03989	4650
DB04005	1734
DB04014	5925
DB04016	6563
DB04017	6636
DB04027	4680
DB04027	721
DB04045	5223
DB04046	4640
DB04066	5787
DB04077	5195
DB04122	4647
DB04137	1742
DB04149	5260
DB04149	5313
DB04152	4069
DB04160	3151
DB04209	2313
DB04216	5346
DB04224	1054
DB04228	1367
DB04256	1373
DB04257	5547
DB04258	2777
DB04272	2478
DB04273	6631
DB04275	5451
DB04287	6703
DB04297	7005
DB04304	4519
DB04315	2410
DB04325	2144
DB04335	4554
DB04338	6038
DB04348	4546
DB04348	4547
DB04355	1782
DB04355	1783
DB04365	296
DB04375	4684
DB04375	6689
DB04381	6288
DB04382	4643
DB04383	4750
DB04395	2456
DB04398	2932
DB04398	2934
DB04422	5198
DB04441	4802
DB04455	4550
DB04457	5122
DB04466	2763
DB04484	4752
DB04485	4718
DB04519	4585
DB04522	1411
DB04524	5219
DB04531	4501
DB04540	2718
DB04545	7410
DB04546	5115
DB04552	2439
DB04557	2391
DB04566	5047
DB04566	5124
DB04572	7622
DB04573	2821
DB04574	4748
DB04574	4749
DB04575	7097
DB04599	4133
DB04630	2872
DB04630	3452
DB04650	4787
DB04652	2869
DB04655	7412
DB04699	5462
DB04705	2885
DB04706	3432
DB04706	4351
DB04706	4352
DB04711	7400
DB04714	3048
DB04716	5992
DB04731	5652
DB04743	7401
DB04751	6030
DB04769	6023
DB04786	1728
DB04787	7416
DB04789	4684
DB04789	6689
DB04813	2338
DB04821	4792
DB04829	154
DB04829	17
DB04829	219
DB04835	803
DB04835	806
DB04837	7324
DB04839	2865
DB04842	85
DB04844	4834
DB04845	6824
DB04849	5664
DB04851	2478
DB04853	5595
DB04855	7465
DB04856	889
DB04856	892
DB04861	7246
DB04865	7454
DB04867	890
DB04868	5697
DB04869	702
DB04872	2110
DB04872	3480
DB04873	225
DB04875	6467
DB04876	6310
DB04879	5705
DB04883	3508
DB04885	2297
DB04890	7466
DB04896	7435
DB04896	7436
DB04898	6381
DB04920	7468
DB04931	1324
DB04933	4919
DB04936	4654
DB04938	7349
DB04942	2648
DB04944	5133
DB04946	87
DB04951	7532
DB04953	2601
DB04954	5592
DB04957	2588
DB04983	1737
DB04996	1058
DB04996	5507
DB05009	3290
DB05013	7443
DB05016	7341
DB05038	679
DB05039	7455
DB05109	2774
DB05229	1967
DB05246	7228
DB05266	7399
DB05271	941
DB05286	2407
DB05289	4194
DB05289	7340
DB05291	2623
DB05294	5717
DB05295	2783
DB05296	1058
DB05302	1639
DB05314	2779
DB05318	2486
DB05347	4829
DB05360	5604
DB05366	7460
DB05379	1936
DB05381	1204
DB05381	1247
DB05383	5135
DB05416	2687
DB05424	5675
DB05428	1058
DB05482	6925
DB05494	4728
DB05494	4827
DB05508	1639
DB05511	422
DB05521	7871
DB05665	7876
DB05790	2107
DB05796	6506
DB05804	4528
DB05804	5577
DB05812	6745
DB05838	2173
DB05855	3994
DB05891	1204
DB05891	1247
DB06090	3969
DB06144	98
DB06148	135
DB06155	743
DB06155	745
DB06201	7470
DB06203	6319
DB06204	7477
DB06207	493
DB06209	7562
DB06210	6961
DB06212	2226
DB06213	5596
DB06216	22
DB06218	7472
DB06228	6388
DB06237	7448
DB06255	3174
DB06262	7391
DB06268	3950
DB06274	7471
DB06287	5892
DB06288	963
DB06290	7367
DB06292	4594
DB06335	6316
DB06554	4322
DB06589	5698
DB06594	198
DB06605	6390
DB06616	5710
DB06623	2598
DB06637	2416
DB06663	2018
DB06684	7427
DB06689	1054
DB06691	1220
DB06691	1227
DB06691	3957
DB06694	517
DB06695	6379
DB06696	7345
DB06699	5585
DB06700	7158
DB06701	7236
DB06701	7554
DB06702	7473
DB06707	508
DB06709	7438
DB06710	6945
DB06711	5509
DB06716	7475
DB06717	7623
DB06731	208
DB06743	1861
DB06744	1862
DB06745	1848
DB06745	1863
DB06746	1864
DB06766	7587
DB06768	2932
DB06768	2934
DB06772	6798
DB06775	7458
DB06777	608
DB06777	7104
DB06781	7474
DB06800	7563
DB06802	7564
DB06809	844
DB06813	6840
DB06832	6700
DB06833	2833
DB06836	6062
DB06842	5258
DB06920	7408
DB06926	5426
DB06973	7865
DB06987	548
DB06999	5703
DB07031	2653
DB07050	6920
DB07063	7411
DB07080	2755
DB07129	2629
DB07138	5719
DB07159	5706
DB07159	7425
DB07221	3189
DB07232	7417
DB07288	6056
DB07294	2653
DB07302	5567
DB07352	4136
DB07379	5927
DB07409	3188
DB07423	7849
DB07425	2639
DB07447	2856
DB07447	3455
DB07465	6316
DB07467	7203
DB07475	6391
DB07503	6024
DB07543	569
DB07545	5931
DB07598	7842
DB07615	6326
DB07664	5946
DB07675	2664
DB07676	5988
DB07690	610
DB07701	6599
DB07702	2821
DB07705	2446
DB07711	5179
DB07718	6629
DB07720	3976
DB07720	3977
DB07720	5348
DB07768	2858
DB07776	409
DB07780	2910
DB07780	3050
DB07794	5966
DB07795	5182
DB07810	4285
DB07841	3052
DB07863	3442
DB07873	3191
DB07886	2868
DB07907	5796
DB07917	6662
DB07930	5850
DB07931	2823
DB07941	7818
DB07954	388
DB07995	5983
DB07997	2348
DB08009	6043
DB08039	6044
DB08046	7147
DB08059	6060
DB08078	2691
DB08094	5707
DB08142	5662
DB08162	5181
DB08175	2812
DB08180	3199
DB08183	5677
DB08190	1343
DB08190	1344
DB08231	2806
DB08291	7507
DB08298	5230
DB08325	5955
DB08382	7413
DB08388	6526
DB08435	1877
DB08435	2692
DB08439	2895
DB08454	5976
DB08472	203
DB08473	5178
DB08477	6388
DB08517	412
DB08521	5269
DB08544	203
DB08567	4798
DB08568	5655
DB08597	4907
DB08607	2693
DB08626	5278
DB08645	7314
DB08653	125
DB08655	7508
DB08683	6037
DB08700	4903
DB08700	7581
DB08756	5290
DB08760	4104
DB08764	5717
DB08766	6463
DB08770	405
DB08770	455
DB08772	7419
DB08799	7116
DB08805	1233
DB08808	550
DB08809	4518
DB08815	7461
DB08816	1765
DB08819	7451
DB08820	4342
DB08822	6900
DB08824	7653
DB08826	7456
DB08827	7439
DB08828	6975
DB08830	4733
DB08831	4643
DB08834	4746
DB08834	4747
DB08837	2343
DB08837	4575
DB08838	4127
DB08842	4520
DB08844	4731
DB08847	4704
