drugbank_id	pharmgkb_id
DB00945	PA448497
DB00946	PA450921
DB00949	PA449590
DB00951	PA450112
DB00952	PA450597
DB00956	PA449900
DB00957	PA164744346
DB00959	PA450466
DB00960	PA450966
DB00962	PA451952
DB00968	PA450453
DB00969	PA164745502
DB00971	PA164771240
DB00975	PA449367
DB00977	PA449527
DB00985	PA449349
DB00988	PA449396
DB00989	PA451262
DB00991	PA450730
DB00992	PA164784028
DB00996	PA449720
DB00997	PA449412
DB00997	PA449476
DB00999	PA449899
DB01000	PA164743456
DB01002	PA135057240
DB01004	PA449733
DB01005	PA449942
DB01006	PA450196
DB01008	PA448691
DB01009	PA450149
DB01011	PA450486
DB01016	PA449782
DB01017	PA450519
DB01018	PA449825
DB01023	PA449591
DB01026	PA450146
DB01028	PA450434
DB01030	PA451729
DB01031	PA164745394
DB01032	PA451106
DB01033	PA450379
DB01035	PA451108
DB01037	PA451316
DB01039	PA449594
DB01041	PA451644
DB01042	PA450354
DB01043	PA10364
DB01045	PA451250
DB01050	PA449957
DB01053	PA450842
DB01054	PA146096020
DB01055	PA164752445
DB01056	PA451706
DB01059	PA450654
DB01060	PA448406
DB01062	PA164746030
DB01063	PA164781360
DB01064	PA450121
DB01066	PA164747187
DB01067	PA449762
DB01068	PA449050
DB01074	PA130150436
DB01075	PA449349
DB01076	PA448500
DB01077	PA449548
DB01080	PA10231
DB01081	PA164746539
DB01082	PA451512
DB01084	PA164751802
DB01086	PA448576
DB01087	PA451103
DB01093	PA449342
DB01094	PA164742902
DB01095	PA449688
DB01096	PA164748782
DB01097	PA450192
DB01099	PA449654
DB01100	PA450965
DB01103	PA164745551
DB01104	PA451333
DB01106	PA164742988
DB01110	PA450494
DB01112	PA448868
DB01113	PA164745550
DB01114	PA448960
DB01115	PA450631
DB01118	PA448383
DB01119	PA449285
DB01121	PA164745309
DB01123	PA164748742
DB01124	PA451718
DB01131	PA451124
DB01132	PA450970
DB01135	PA164744927
DB01137	PA450684
DB01138	PA451550
DB01142	PA449409
DB01147	PA449059
DB01149	PA450603
DB01150	PA164746342
DB01151	PA449233
DB01156	PA448687
DB01157	PA451790
DB01159	PA449845
DB01162	PA451612
DB01165	PA450684
DB01168	PA451112
DB01170	PA449823
DB01171	PA452615
DB01173	PA450715
DB01174	PA164783957
DB01174	PA450911
DB01175	PA10074
DB01175	PA449015
DB01178	PA448939
DB01181	PA449964
DB01183	PA450586
DB01184	PA134711056
DB01189	PA164749136
DB01191	PA449592
DB01192	PA450748
DB01193	PA448011
DB01195	PA449646
DB01197	PA448780
DB01198	PA10236
DB01199	PA451811
DB01200	PA448671
DB01202	PA450206
DB01203	PA450573
DB01205	PA449659
DB01208	PA451472
DB01210	PA164747027
DB01212	PA448866
DB01213	PA449697
DB01214	PA164748727
DB01215	PA449502
DB01217	PA448432
DB01218	PA449839
DB01221	PA450144
DB01222	PA448681
DB01223	PA451647
DB01224	PA451201
DB01225	PA164754878
DB01225	PA449463
DB01225	PA449855
DB01227	PA164746889
DB01228	PA449459
DB01229	PA450761
DB01230	PA450836
DB01234	PA164754818
DB01234	PA449247
DB01235	PA450213
DB01236	PA451341
DB01238	PA10026
DB01239	PA164781400
DB01240	PA449479
DB01242	PA449048
DB01243	PA164754879
DB01244	PA164754755
DB01245	PA164747980
DB01247	PA450101
DB01248	PA449383
DB01250	PA450700
