drugbank_id	nikkaji_id
DB00252	J2.325F
DB00252	J366.972F
DB00252	J402.912G
DB00252	J402.913E
DB00253	J7.644I
DB00254	J1.388.301G
DB00254	J264.914D
DB00254	J3.096.289C
DB00254	J6.511K
DB00254	J762.292I
DB00254	J806.569A
DB00254	J83.248K
DB00255	J113.282B
DB00255	J2.162.431D
DB00255	J2.801K
DB00255	J208.315I
DB00255	J343.884H
DB00255	J61.231F
DB00256	J51.487J
DB00257	J3.156I
DB00258	J1.225.700G
DB00258	J1.225.710D
DB00258	J1.279.081C
DB00258	J1.373.736C
DB00258	J1.427.954G
DB00258	J1.579.803C
DB00258	J1.804.816G
DB00258	J1.834.496C
DB00258	J193.119I
DB00258	J2.110.666F
DB00258	J2.134.526A
DB00258	J2.171.404F
DB00258	J2.355H
DB00258	J2.758.570A
DB00258	J203.447F
DB00258	J209.470C
DB00258	J264.800H
DB00258	J3.150.090G
DB00258	J366.493G
DB00258	J4.823B
DB00258	J425.393K
DB00258	J441.057B
DB00258	J461.940D
DB00258	J643.972A
DB00259	J4.829A
DB00260	J60.873D
DB00260	J71.275B
DB00260	J8.592H
DB00261	J18.596E
DB00262	J2.968H
DB00263	J4.409A
DB00264	J239.291G
DB00264	J239.292E
DB00264	J31.137E
DB00265	J2.055I
DB00265	J28.784I
DB00265	J426.709E
DB00266	J4.845C
DB00267	J19.799H
DB00267	J68.571B
DB00268	J264.965I
DB00269	J6.531E
DB00270	J22.918K
DB00270	J33.142B
DB00270	J356.392H
DB00270	J356.393F
DB00270	J367.708G
DB00271	J1.589.720A
DB00271	J21.202D
DB00271	J21.596A
DB00271	J22.206B
DB00271	J5.294I
DB00272	J5.041E
DB00273	J345.989F
DB00274	J14.542D
DB00274	J26.440G
DB00274	J26.441E
DB00274	J67.779E
DB00275	J715.876I
DB00276	J1.056A
DB00277	J1.330.907H
DB00277	J2.333G
DB00277	J3.209.732D
DB00278	J1.577.666H
DB00278	J1.577.669B
DB00278	J22.668H
DB00278	J69.894F
DB00278	J849.970E
DB00278	J849.971C
DB00278	J849.975F
DB00279	J1.372B
DB00279	J1.682.490I
DB00279	J14.681A
DB00279	J16.720G
DB00279	J2.088.557B
DB00279	J239.592D
DB00279	J8.056J
DB00279	J85.948F
DB00280	J3.408H
DB00280	J413.004I
DB00280	J413.005G
DB00281	J5.631F
DB00282	J221.669H
DB00282	J248.081F
DB00282	J710.127I
DB00283	J25.983G
DB00283	J9.658J
DB00284	J1.629.105F
DB00284	J1.629.106D
DB00284	J33.395F
DB00285	J347.732K
DB00285	J721.782J
DB00285	J721.783H
DB00286	J1.085.483K
DB00286	J1.272.853K
DB00286	J217.076K
DB00286	J5.740A
DB00286	J5.782G
DB00287	J1.152.432J
DB00287	J1.828.725K
DB00288	J3.189E
DB00289	J471.927A
DB00289	J525.770K
DB00289	J525.771I
DB00290	J25.633A
DB00290	J359.111E
DB00291	J1.521K
DB00291	J65.862F
DB00292	J17.549H
DB00292	J331.127I
DB00292	J954.092J
DB00293	J2.026.718F
DB00293	J409.820J
DB00294	J76.212A
DB00295	J1.152.021I
DB00295	J2.323J
DB00295	J23.937B
DB00295	J3.203.427F
DB00295	J384.400E
DB00295	J66.312C
DB00295	J66.313A
DB00296	J1.949.165J
DB00296	J33.095G
DB00296	J824.305K
DB00296	J984.845B
DB00297	J153.468H
DB00297	J153.469F
DB00297	J7.351B
DB00298	J111.116G
DB00299	J228.035C
DB00300	J540.141K
DB00300	J540.142I
DB00300	J772.256G
DB00301	J53.498F
DB00301	J60.870J
DB00301	J8.825K
DB00302	J1.237.845I
DB00302	J2.016.341K
DB00302	J3.664A
DB00302	J52.955I
DB00302	J52.956G
DB00302	J52.957E
DB00303	J2.766.498I
DB00303	J863.634F
DB00304	J12.635G
DB00305	J305.937E
DB00305	J544.404G
DB00305	J551.554H
DB00305	J64.512E
DB00305	J9.261D
DB00306	J47.150J
DB00307	J612.549B
DB00308	J362.100F
DB00308	J436.919J
DB00308	J436.920C
DB00309	J24.547J
DB00310	J1.476A
DB00310	J785.613J
DB00310	J785.614H
DB00311	J5.754A
DB00312	J4.552G
DB00312	J51.935I
DB00312	J52.824B
DB00313	J4.972G
DB00314	J67.499K
DB00314	J67.500H
DB00315	J694.097H
DB00315	J696.609H
DB00316	J1.870.716K
DB00316	J4.025H
DB00317	J1.437.124I
DB00317	J2.101.174F
DB00317	J2.658.136B
DB00318	J1.049.852J
DB00318	J1.224.242E
DB00318	J12.206H
DB00318	J38.655C
DB00318	J4.178E
DB00319	J18.442J
DB00319	J18.443H
DB00319	J27.883A
DB00319	J430.581G
DB00320	J6.263D
DB00321	J4.103C
DB00322	J1.572.019K
DB00322	J4.488A
DB00322	J816.062G
DB00324	J2.041I
DB00324	J21.279B
DB00325	J1.291.783J
DB00325	J305.305I
DB00325	J597.077F
DB00325	J903.617B
DB00326	J1.368.589D
DB00326	J1.401.272I
DB00326	J1.422.054B
DB00326	J1.490.931A
DB00326	J1.546.850E
DB00326	J1.593.478F
DB00326	J122.407G
DB00326	J192.183E
DB00326	J2.581.473H
DB00326	J208.552F
DB00326	J21.226A
DB00326	J21.227J
DB00326	J228.937G
DB00326	J249.917G
DB00326	J262.294G
DB00326	J262.295E
DB00326	J289.041K
DB00326	J3.201.541G
DB00326	J306.709B
DB00326	J318.959G
DB00326	J334.123B
DB00326	J382.872G
DB00326	J382.873E
DB00326	J643.972A
DB00326	J8.076D
DB00326	J9.073E
DB00327	J1.708.215I
DB00327	J5.904H
DB00328	J1.368D
DB00330	J291.245G
DB00330	J362.703I
DB00330	J362.704G
DB00330	J5.261B
DB00331	J9.463C
DB00332	J209.375H
DB00332	J245.594C
DB00332	J281.651B
DB00332	J293.340C
DB00332	J293.341A
DB00332	J294.567C
DB00332	J294.568A
DB00332	J389.214J
DB00332	J389.215H
DB00332	J389.227A
DB00332	J435.002B
DB00332	J435.003K
DB00332	J95.186B
DB00332	J95.233H
DB00332	J981.308J
DB00333	J4.190D
DB00333	J56.318H
DB00333	J56.319F
DB00334	J2.080.989B
DB00334	J489.991A
