drugbank_id	pubchem_dotf_id
DB00820	12015128
DB00821	12013355
DB00824	12012874
DB00827	12015380
DB00828	12013664
DB00831	12013408
DB00833	12013565
DB00834	12013919
DB00841	12013704
DB00843	12014379
DB00844	12013401
DB00845	24714740
DB00848	12015289
DB00850	12013414
DB00853	12013608
DB00855	12014757
DB00857	12012797
DB00860	12012573
DB00861	12013398
DB00862	12015314
DB00863	12013446
DB00863	12014474
DB00864	12013904
DB00869	12014411
DB00870	12012657
DB00872	12015043
DB00876	12014572
DB00877	12014635
DB00879	12014747
DB00880	24714733
DB00881	12013148
DB00882	22395921
DB00884	12014792
DB00886	12014939
DB00889	12014022
DB00894	136349969
DB00896	12014133
DB00897	12013397
DB00899	12014706
DB00900	12014245
DB00901	12013927
DB00904	12014033
DB00905	12015127
DB00906	12014177
DB00909	12012838
DB00910	12015105
DB00912	12014667
DB00916	26683761
DB00917	99431525
DB00918	12014867
DB00920	12015272
DB00921	12013399
DB00922	12014745
DB00923	24714908
DB00924	12015332
DB00926	12013448
DB00927	12013748
DB00928	12013374
DB00928	12014007
DB00929	12013227
DB00929	24714855
DB00939	12013402
DB00945	24714725
DB00947	12014659
DB00949	12013710
DB00950	12015028
DB00951	92309394
DB00952	12014338
DB00953	12014923
DB00954	12013625
DB00957	12013307
DB00958	12013926
DB00960	24714739
DB00962	12014056
DB00963	12014268
DB00964	12014172
DB00966	12014783
DB00967	12013632
DB00969	12014714
DB00972	12012629
DB00973	12014979
DB00975	81044336
DB00976	12015022
DB00978	12013757
DB00980	12015157
DB00982	12013352
DB00982	12014646
DB00982	12014910
DB00983	12013923
DB00983	24714754
DB00986	49684186
DB00987	49684259
DB00989	12014277
DB00990	12014009
DB00991	12013314
DB00995	12015271
DB00996	12012796
DB00998	12014901
DB01002	12014951
DB01004	12013652
DB01005	12014598
DB01006	12014531
DB01007	12013844
DB01009	12015049
DB01012	12015510
DB01014	12012759
DB01017	87550941
DB01018	12013435
DB01023	12012613
DB01024	12015334
DB01025	12012752
DB01026	12013789
DB01029	12014641
DB01030	12014351
DB01036	12014413
DB01037	12014185
DB01039	22395205
DB01041	12013404
DB01043	12013344
DB01044	12014137
DB01045	24714737
DB01046	12015646
DB01048	12014613
DB01050	12014434
DB01050	125299288
DB01051	12012593
DB01054	12013715
DB01056	12013443
DB01058	12015327
DB01059	12013332
DB01060	85197616
DB01065	56310582
DB01069	24714732
DB01072	12015165
DB01073	12012906
DB01074	26683799
DB01080	12012774
DB01083	12013644
DB01084	12012954
DB01091	12014064
DB01095	12014002
DB01096	22395920
DB01097	12013774
DB01098	12015082
DB01100	12013418
DB01101	12014895
DB01104	12014562
DB01105	12013936
DB01106	12013587
DB01112	12015285
DB01115	12014071
DB01118	99431524
DB01119	24714736
DB01123	125299290
DB01126	12014955
DB01128	12014029
DB01130	12013808
DB01131	22395194
DB01132	12014532
DB01132	22395182
DB01133	12012975
DB01135	12014120
DB01136	12013067
DB01137	12013736
DB01137	12014081
DB01141	12015211
DB01143	12013090
DB01149	12013126
DB01150	12013577
DB01151	12013425
DB01153	12014567
DB01155	12014993
DB01156	12013831
DB01157	12012739
DB01157	12014863
DB01162	12013730
DB01165	12013736
DB01165	12014081
DB01166	12012700
DB01167	12012955
DB01171	12013032
DB01175	12012767
DB01175	12014433
DB01179	12012576
DB01182	12013442
DB01184	12013334
DB01186	12012689
DB01188	12012595
DB01189	12014271
DB01191	12013267
DB01194	12015162
DB01195	12013342
DB01197	12013747
DB01198	12013157
DB01198	12015386
DB01201	12012718
DB01202	12013706
DB01202	12015496
DB01203	12013396
DB01204	12013376
DB01205	12013048
DB01207	12014065
DB01208	12014309
DB01209	12012733
DB01210	12013724
DB01210	12015505
DB01211	12013874
DB01212	12013367
DB01216	12014292
DB01217	12014321
DB01218	12013102
DB01219	50086896
DB01220	12012727
DB01222	12013315
DB01224	12014721
DB01226	12014183
DB01227	12015578
DB01228	12012630
DB01229	12013494
DB01232	12014566
DB01234	12012603
DB01236	12012762
DB01238	12014488
DB01240	12013444
DB01241	12013353
DB01242	24714730
DB01244	12013371
DB01248	12014196
DB01250	12013469
DB01252	12014743
DB01254	12015788
DB01255	26683812
DB01256	12015312
DB01259	12015501
DB01261	12015731
DB01262	12013916
DB01263	12014995
DB01264	12015589
DB01265	12015420
DB01267	22395187
DB01268	12015580
DB01273	12015720
DB01274	12013923
DB01274	24714754
DB01275	12013432
DB01280	12015013
DB01283	12015303
DB01291	12013431
DB01295	12012835
DB01301	125299357
DB01319	12015337
DB01319	12015397
DB01320	12013954
DB01326	81044354
DB01328	12013357
DB01329	12013964
DB01330	12013327
DB01331	12012592
DB01332	12012586
DB01338	12013270
DB01339	12013268
DB01340	12013515
DB01347	12014753
DB01348	12013873
DB01349	12014735
DB01359	12013436
DB01366	12013184
DB01367	12014622
DB01388	12014376
DB01393	12015374
DB01394	12012587
DB01395	12014580
DB01396	12015761
DB01399	26683807
DB01406	123055285
DB01407	12013986
DB01408	12012883
DB01409	12014767
DB01410	12014485
DB01413	12012932
DB01415	12013999
DB01425	12013428
DB01427	12013242
DB01430	12015461
DB01433	12015578
DB01436	123055313
DB01441	22395767
DB01445	12015261
DB01476	12015531
DB01489	12013410
DB01515	99431526
DB01522	12015578
DB01524	57304390
DB01535	22395327
DB01545	12013358
DB01555	12015578
DB01559	12015458
DB01560	12013263
DB01567	22395274
DB01570	22395615
DB01571	22395862
DB01583	123055316
DB01583	123055440
DB01583	24714734
DB01586	12012589
DB01586	99431529
DB01587	12013411
DB01589	12012678
DB01590	12014881
DB01591	12015109
DB01594	12013302
DB01597	12013751
DB01598	12013750
DB01599	12014197
DB01601	56310583
DB01603	12012577
DB01604	12012830
DB01606	12013505
DB01609	12015358
DB01610	12015034
DB01618	87550960
DB01623	12013417
DB01628	12015199
DB01638	125299321
DB01645	49684188
DB01656	12014977
DB01683	22395460
DB01698	12015663
DB01708	12014907
DB01727	12013273
DB01791	12014798
DB01852	56310599
DB01873	12015122
DB01873	12015722
DB01880	22395875
DB01894	136349998
DB01910	12012655
DB01928	12013888
DB01933	12014075
DB01954	12013590
DB02000	12014956
DB02010	22395183
DB02020	22395382
DB02021	12014775
DB02032	12013747
DB02035	26683774
DB02056	12012669
DB02097	49684259
DB02101	12014775
DB02132	12014058
DB02152	136349961
DB02169	12013120
DB02202	22395586
DB02228	12014430
DB02255	12014779
DB02292	57304391
DB02300	12014175
DB02329	12013920
DB02335	22395639
DB02342	12015344
DB02344	136349998
DB02375	12015490
DB02378	12015889
DB02383	12014205
DB02507	22395179
DB02533	12014685
DB02545	123055391
DB02546	12015019
DB02568	12014771
DB02587	12013584
DB02600	12015074
DB02601	24714785
DB02656	12014870
DB02659	123055413
DB02692	12014491
DB02701	12013393
DB02709	12015089
DB02712	12012698
DB02733	12015293
DB02758	12015352
DB02823	24714910
DB02833	12015757
DB02846	12015539
DB02872	49684242
DB02893	125299323
DB02901	57304367
