drugbank_id	hmdb_id
DB00523	HMDB12874
DB00524	HMDB14665
DB00525	HMDB05005
DB00526	HMDB02329
DB00526	HMDB14667
DB00527	HMDB14668
DB00528	HMDB14669
DB00529	HMDB14670
DB00530	HMDB14671
DB00531	HMDB14672
DB00532	HMDB14673
DB00534	HMDB00492
DB00534	HMDB02306
DB00534	HMDB14674
DB00535	HMDB14675
DB00536	HMDB01842
DB00537	HMDB14677
DB00538	HMDB14678
DB00539	HMDB14679
DB00540	HMDB14680
DB00541	HMDB14681
DB00542	HMDB14682
DB00543	HMDB14683
DB00544	HMDB14684
DB00545	HMDB14685
DB00546	HMDB14686
DB00547	HMDB14687
DB00548	HMDB00784
DB00549	HMDB14689
DB00550	HMDB14690
DB00551	HMDB14691
DB00552	HMDB14692
DB00553	HMDB14693
DB00554	HMDB14694
DB00555	HMDB14695
DB00556	HMDB14696
DB00557	HMDB14697
DB00558	HMDB14698
DB00559	HMDB14699
DB00560	HMDB14700
DB00561	HMDB14701
DB00562	HMDB14702
DB00563	HMDB14703
DB00564	HMDB14704
DB00565	HMDB14705
DB00565	HMDB14870
DB00566	HMDB14706
DB00567	HMDB14707
DB00568	HMDB14708
DB00569	HMDB00588
DB00569	HMDB14709
DB00570	HMDB14710
DB00571	HMDB01849
DB00572	HMDB14568
DB00572	HMDB14712
DB00573	HMDB14713
DB00574	HMDB15322
DB00575	HMDB14714
DB00576	HMDB14715
DB00577	HMDB14716
DB00578	HMDB14717
DB00579	HMDB14718
DB00580	HMDB05033
DB00581	HMDB00740
DB00582	HMDB14720
DB00583	HMDB00062
DB00584	HMDB14722
DB00585	HMDB14723
DB00586	HMDB14724
DB00587	HMDB14725
DB00588	HMDB05036
DB00588	HMDB14726
DB00589	HMDB14727
DB00590	HMDB14728
DB00591	HMDB14729
DB00592	HMDB14730
DB00593	HMDB14731
DB00594	HMDB14732
DB00596	HMDB14734
DB00597	HMDB14735
DB00598	HMDB14736
DB00599	HMDB14737
DB00600	HMDB14738
DB00601	HMDB14739
DB00602	HMDB14740
DB00604	HMDB14742
DB00605	HMDB14743
DB00606	HMDB14744
DB00607	HMDB14745
DB00608	HMDB14746
DB00609	HMDB14747
DB00610	HMDB14748
DB00611	HMDB14749
DB00612	HMDB14750
DB00613	HMDB14751
DB00614	HMDB14752
DB00615	HMDB14753
DB00616	HMDB14754
DB00617	HMDB14755
DB00618	HMDB14756
DB00619	HMDB14757
DB00620	HMDB14758
DB00621	HMDB14759
DB00622	HMDB14760
DB00623	HMDB14761
DB00624	HMDB00234
DB00624	HMDB00628
DB00625	HMDB14763
DB00626	HMDB14764
DB00627	HMDB01488
DB00628	HMDB14766
DB00629	HMDB14767
DB00630	HMDB01915
DB00631	HMDB14769
DB00632	HMDB14770
DB00633	HMDB14771
DB00634	HMDB14772
DB00635	HMDB14773
DB00636	HMDB14774
DB00637	HMDB14775
DB00639	HMDB14777
DB00640	HMDB00050
DB00640	HMDB14340
DB00641	HMDB05007
DB00642	HMDB14780
DB00643	HMDB14781
DB00644	HMDB14782
DB00645	HMDB14783
DB00646	HMDB14784
DB00647	HMDB14785
DB00648	HMDB14786
DB00649	HMDB14787
DB00650	HMDB01562
DB00650	HMDB02140
DB00651	HMDB14789
DB00652	HMDB14790
DB00653	HMDB00547
DB00653	HMDB01448
DB00653	HMDB14791
DB00654	HMDB14792
DB00655	HMDB00145
DB00656	HMDB14794
DB00657	HMDB14795
DB00658	HMDB14796
DB00658	HMDB34232
DB00659	HMDB14797
DB00660	HMDB14798
DB00661	HMDB01850
DB00662	HMDB14800
DB00663	HMDB14801
DB00664	HMDB14802
DB00665	HMDB14803
DB00666	HMDB14804
DB00667	HMDB00870
DB00667	HMDB00973
DB00667	HMDB01429
DB00667	HMDB02105
DB00667	HMDB02142
DB00667	HMDB14805
DB00667	HMDB60263
DB00668	HMDB00068
DB00669	HMDB05037
DB00670	HMDB14808
DB00671	HMDB14809
DB00672	HMDB14810
DB00673	HMDB14811
DB00674	HMDB14812
DB00675	HMDB14813
DB00676	HMDB14814
DB00677	HMDB14815
DB00678	HMDB14816
DB00679	HMDB14817
DB00680	HMDB14818
DB00681	HMDB14819
DB00682	HMDB01935
DB00683	HMDB14821
