drugbank_id	zinc_id
DB00227	ZINC39341568
DB00227	ZINC43772719
DB00227	ZINC43772720
DB00227	ZINC43772721
DB00227	ZINC43772723
DB00227	ZINC43772724
DB00227	ZINC43772726
DB00228	ZINC03812964
DB00228	ZINC03872449
DB00229	ZINC03830445
DB00230	ZINC00005152
DB00230	ZINC05760031
DB00231	ZINC00000740
DB00231	ZINC00896634
DB00232	ZINC00897229
DB00232	ZINC00897232
DB00233	ZINC00000922
DB00234	ZINC00002275
DB00234	ZINC00002284
DB00234	ZINC00006923
DB00234	ZINC03996032
DB00235	ZINC09224016
DB00236	ZINC01530753
DB00237	ZINC00968345
DB00237	ZINC03651680
DB00238	ZINC00004778
DB00239	ZINC03873295
DB00239	ZINC03873296
DB00241	ZINC03830347
DB00242	ZINC01545060
DB00242	ZINC01686197
DB00242	ZINC03798064
DB00242	ZINC03830565
DB00242	ZINC03830566
DB00242	ZINC03830567
DB00242	ZINC11616249
DB00243	ZINC21984082
DB00243	ZINC21984084
DB00244	ZINC00001688
DB00245	ZINC00968360
DB00245	ZINC12959181
DB00246	ZINC00538550
DB00247	ZINC01731588
DB00248	ZINC03800008
DB00248	ZINC53230301
DB00249	ZINC00537850
DB00249	ZINC02562618
DB00249	ZINC03586101
DB00249	ZINC03834173
DB00249	ZINC05223557
DB00249	ZINC13547843
DB00249	ZINC17779640
DB00250	ZINC00006310
DB00251	ZINC00897382
DB00252	ZINC02510358
DB00252	ZINC18140189
DB00253	ZINC03874181
DB00253	ZINC03874182
DB00253	ZINC03874183
DB00253	ZINC03874184
DB00253	ZINC03977944
DB00253	ZINC03977945
DB00253	ZINC03977946
DB00253	ZINC03977947
DB00253	ZINC08552544
DB00253	ZINC08552545
DB00253	ZINC08552546
DB00253	ZINC08552547
DB00254	ZINC04245687
DB00254	ZINC04533484
DB00254	ZINC11592654
DB00254	ZINC11592655
DB00254	ZINC11592656
DB00254	ZINC11592657
DB00254	ZINC13783291
DB00254	ZINC16052277
DB00254	ZINC16248871
DB00254	ZINC16248873
DB00254	ZINC19203888
DB00254	ZINC19203897
DB00254	ZINC19868809
DB00254	ZINC21984014
DB00254	ZINC21984604
DB00254	ZINC28713782
DB00254	ZINC35024602
DB00254	ZINC35024605
DB00254	ZINC35024607
DB00254	ZINC35565137
DB00254	ZINC35565138
DB00254	ZINC35565139
DB00254	ZINC35565140
