drugbank_id	pubchem_id
DB00050	44250033
DB00050	44356467
DB00050	44361632
DB00050	44384544
DB00050	54771705
DB00050	56846443
DB00050	73952125
DB00050	76194208
DB00050	87083552
DB00050	87183517
DB00050	87183657
DB00050	87246797
DB00050	87470709
DB00050	87471882
DB00050	87852622
DB00050	87949193
DB00050	88227671
DB00050	88238515
DB00050	89155280
DB00050	90460519
DB00091	10486501
DB00091	10677836
DB00091	11073233
DB00091	11194160
DB00091	11491871
DB00091	11528313
DB00091	11557259
DB00091	11643846
DB00091	11815712
DB00091	11979687
DB00091	11981013
DB00091	11981040
DB00091	11981102
DB00091	11982621
DB00091	13037933
DB00091	13037937
DB00091	13037941
DB00091	15985653
DB00091	16045348
DB00091	16048666
DB00091	16061485
DB00091	16404350
DB00091	16730065
DB00091	171409
DB00091	20831316
DB00091	23351418
DB00091	23351781
DB00091	23376125
DB00091	23649039
DB00091	23653560
DB00091	24883466
DB00091	24970043
DB00091	25103811
DB00091	25246316
DB00091	2909
DB00091	44119980
DB00091	44251618
DB00091	44354430
DB00091	44361036
DB00091	44361149
DB00091	44361198
DB00091	44373920
DB00091	44393425
DB00091	44393512
DB00091	45489028
DB00091	49652396
DB00091	49867938
DB00091	5280754
DB00091	5284373
DB00091	53376754
DB00091	5458585
DB00091	5497195
DB00091	57123750
DB00091	57317596
DB00091	57417230
DB00091	59704271
DB00091	59748794
DB00091	59755609
DB00091	60105598
DB00091	62280
DB00091	6435893
DB00091	6475771
DB00091	6476564
DB00091	6476816
DB00091	6479218
DB00091	6479219
DB00091	6603775
DB00091	6604816
DB00091	6610296
DB00091	66509054
DB00091	6711153
DB00091	71306795
DB00091	71312582
DB00091	71463825
DB00091	71768573
DB00091	71963842
DB00091	72943691
DB00091	72982766
DB00091	72995998
DB00091	73006343
DB00091	73160524
DB00091	73161130
DB00091	73161142
DB00091	73161181
DB00091	73162073
DB00091	73215024
DB00091	73226002
DB00091	73227174
DB00091	73229543
DB00091	73313838
DB00091	73427232
DB00091	73714591
DB00091	73858978
DB00091	73896891
DB00091	74043365
DB00091	74043513
DB00091	74044861
DB00091	74078290
DB00091	74079942
DB00091	74376330
DB00091	74975179
DB00091	75534859
DB00091	76027756
DB00091	76973723
DB00091	77050788
DB00091	78412034
DB00091	78412184
DB00091	78412595
DB00091	78412596
DB00091	85049115
DB00091	85053976
DB00091	85053982
DB00091	85058797
DB00091	85058856
DB00091	85068329
DB00091	85068363
DB00091	85073054
DB00091	85073118
DB00091	85073145
DB00091	85077850
DB00091	85077886
DB00091	85077889
DB00091	86691820
DB00091	87057664
DB00091	87088707
DB00091	87118120
DB00091	87126375
DB00091	87134288
DB00091	87141111
DB00091	87183444
DB00091	87200951
DB00091	87220076
DB00091	87222965
DB00091	87246689
DB00091	87260720
DB00091	87271971
DB00091	87271972
DB00091	87280864
DB00091	87280891
DB00091	87323272
DB00091	87370015
DB00091	87453338
DB00091	87460980
DB00091	87464897
DB00091	87481107
DB00091	87481177
DB00091	87483932
DB00091	87525124
DB00091	87534330
DB00091	87534603
DB00091	87555354
DB00091	87672480
DB00091	87672872
DB00091	87673362
DB00091	87673363
DB00091	87673465
DB00091	87673673
DB00091	87674273
DB00091	87674590
DB00091	87675204
DB00091	87675752
DB00091	87684538
DB00091	87684616
DB00091	87685437
DB00091	87685544
DB00091	87685747
DB00091	87686337
