drugbank_id	chebi_id
DB00135	32760
DB00135	32761
DB00135	32762
DB00135	32773
DB00135	32774
DB00135	32775
DB00135	32784
DB00135	32785
DB00135	32786
DB00135	58315
DB00135	58570
DB00136	17823
DB00137	28838
DB00138	16283
DB00138	17376
DB00138	35491
DB00138	35492
DB00138	35494
DB00138	63163
DB00139	15741
DB00139	30031
DB00139	30779
DB00140	17015
DB00140	57986
DB00141	17122
DB00141	17411
DB00142	14321
DB00142	15966
DB00142	16015
DB00142	18237
DB00142	29985
DB00142	29986
DB00142	29987
DB00142	29988
DB00142	29989
DB00142	76051
DB00143	16856
DB00143	57925
DB00145	15428
DB00145	32507
DB00145	32508
DB00145	57305
DB00146	17933
DB00147	17310
DB00148	16919
DB00148	57947
DB00148	66924
DB00149	15603
DB00149	25017
DB00149	28225
DB00149	32619
DB00149	32620
DB00149	32623
DB00149	32624
DB00149	32627
DB00149	32628
DB00149	57427
DB00150	16296
DB00150	16828
DB00150	27897
DB00150	32702
DB00150	32704
DB00150	32716
DB00150	32717
DB00150	32727
DB00150	32728
DB00150	57719
DB00150	57912
DB00150	64554
DB00151	15356
DB00151	16375
DB00151	17561
DB00151	32442
DB00151	32443
DB00151	32445
DB00151	32449
DB00151	32450
DB00151	32451
DB00151	32456
DB00151	32457
DB00151	32458
DB00151	35235
DB00151	35236
DB00151	35237
DB00152	18385
DB00152	49107
DB00153	28934
DB00154	53486
DB00154	71589
DB00155	16349
DB00155	18211
DB00155	49007
DB00155	57743
DB00155	66922
DB00156	16398
DB00156	16857
DB00156	28718
DB00156	32820
DB00156	32822
DB00156	32826
DB00156	32827
DB00156	32828
DB00156	38263
DB00156	57757
DB00156	57926
DB00156	58585
DB00156	58645
DB00157	16908
DB00157	57945
DB00157	77176
DB00157	77311
DB00158	27470
DB00158	62501
DB00159	28364
DB00159	58562
DB00160	15570
DB00160	16449
DB00160	16977
DB00160	32431
DB00160	32432
DB00160	32435
DB00160	32436
DB00160	32439
DB00160	32440
DB00160	57416
DB00160	57972
DB00160	66916
DB00160	76050
DB00161	16414
DB00161	27266
DB00161	27477
DB00161	32851
