drugbank_id	nmrshiftdb2_id
DB01160	10016352
DB01160	10024064
DB01163	10022990
DB01174	10017815
DB01175	20182136
DB01178	20200185
DB01186	30100190
DB01215	20180178
DB01223	10006311
DB01223	30095493
DB01224	20218786
DB01230	20201423
DB01231	20208306
DB01231	20211238
DB01235	20039638
DB01245	20112710
DB01248	20165114
DB01248	20168144
DB01265	10016347
DB01275	20202075
DB01294	10008793
DB01294	20188012
DB01294	20208640
DB01296	20212431
DB01296	20213218
DB01303	10017762
DB01327	10025027
DB01346	10016314
DB01346	10017815
DB01351	20200623
DB01375	10016953
DB01375	20188012
DB01392	10008279
DB01392	10022931
DB01394	10017694
DB01397	10008793
DB01397	20208640
DB01398	10008793
DB01398	20208640
DB01400	20200212
DB01401	10008793
DB01401	10017762
DB01401	20208640
DB01412	20191230
DB01422	10023347
DB01428	20112359
DB01440	20207538
DB01445	20026032
DB01483	10016205
DB01483	30095872
DB01486	20039266
DB01488	10017644
DB01494	10009018
DB01494	10024176
DB01495	10024176
DB01539	20181077
DB01544	20233880
DB01563	10024176
DB01567	20233879
DB01582	20208328
DB01583	20041151
DB01583	20044845
DB01586	10009059
DB01591	10008686
DB01591	20097551
DB01595	20179957
DB01626	20208165
DB01626	20208813
DB01631	20025083
DB01638	10005617
DB01642	20202478
DB01642	30095502
DB01646	20200816
DB01650	10008842
DB01670	10008913
DB01671	20188012
DB01672	20035558
DB01677	10016803
DB01677	30095503
DB01677	8411
DB01687	10026323
DB01687	10026324
DB01687	10026325
DB01688	10008600
DB01692	20097221
DB01694	10008687
DB01694	20097650
DB01696	10016335
DB01701	20026252
DB01702	20039580
DB01718	20097206
DB01722	10007824
DB01726	10008619
DB01735	20208747
DB01739	10016958
DB01739	20026338
DB01744	10008814
DB01746	10016957
DB01746	20026342
DB01749	10008639
DB01758	20123975
DB01759	20182546
DB01760	20182207
DB01775	10024505
DB01776	10008599
DB01783	20097171
DB01786	10016954
DB01795	20027399
DB01796	20032289
DB01804	20026355
DB01819	10017745
DB01822	20209864
DB01822	20211283
DB01828	10016917
DB01839	8115
DB01844	10009017
DB01845	10016559
DB01851	30095865
DB01856	10016799
DB01861	10022021
DB01874	10022547
DB01878	10005796
DB01880	20039649
DB01900	10008613
DB01902	20200088
