drugbank_id	recon_id
DB04493	HC00664
DB04493	f6p
DB04494	h2o
DB04494	oh1
DB04510	3pg
DB04519	octa
DB04522	pser_L
DB04524	malcoa
DB04540	chsterol
DB04551	HC01180
DB04551	fdp
DB04553	2obut
DB04555	cdp
DB04557	arachd
DB04566	imp
DB04573	estriol
DB04574	estrones
DB04630	aldstrn
DB04650	btn
DB04652	crtstrn
DB04660	g3pc
DB04665	coumarin
DB04688	egme
DB04704	20ahchsterol
DB04704	xol7a
DB04705	xol25oh
DB04714	ipdp
DB04734	mescon
DB04789	5mthf
DB04801	vacc
DB04817	na1
DB04819	cl
DB04836	cl
DB04840	debrisoquine
DB04851	cit
DB04874	cl
DB04874	nh4
DB04933	na1
DB04972	cl
DB04996	ac
DB04996	cl
DB04996	nh4
DB05088	HC00250
DB05143	na1
DB05229	na1
DB05296	ac
DB05302	cl
DB05314	1a25dhvitd3
DB05339	cl
DB05340	na1
DB05381	cl
DB05381	hista
DB05382	iodine
DB05383	cl
DB05384	acryl
DB05389	h2o
DB05389	o2
DB05389	oh1
DB05428	ac
DB05436	CE1310
DB05446	HC02121
DB05461	cl
DB05461	h2o
DB05461	oh1
DB05494	cytd
DB05508	cl
DB05630	h2o
DB05630	na1
DB05630	oh1
DB05708	cl
DB05738	cl
DB05790	cl
DB05792	cl
DB05804	dheas
DB05837	cl
DB05891	cl
DB05891	hista
DB06151	CE1310
DB06216	fum
DB06292	12ppd_R
DB06292	12ppd_S
DB06292	h2o
DB06292	oh1
DB06402	cl
DB06689	elaid
DB06689	etha
DB06689	ocdcea
DB06705	h2o
DB06705	na1
DB06705	oh1
DB06715	i
DB06715	k
DB06723	h2o
DB06723	oh1
DB06768	lac_D
DB06768	lac_L
DB06768	nh4
DB06777	C02528
DB07172	CE7085
DB07339	CE5536
DB07375	andrstandn
DB07424	k
DB07447	5adtststerone
DB07557	C03681
DB07645	sebacid
DB07690	C04483
DB07690	dchac
DB07702	estriol
DB07706	C05301
DB07718	34hpp
DB07768	tststerone
DB07780	frdp
DB07841	CE5956
DB07841	ggdp
DB07841	ttc_ggdp
DB07886	crtsl
DB07950	ind3ac
DB08120	dhlam
DB08231	ttdca
DB08294	CE1957
DB08327	hgentis
DB08435	CE4877
DB08653	trypta
DB08830	dhdascb
DB08834	tdchola
DB08836	cl
DB08838	agm
DB08842	acrn
DB08844	urate
DB08847	4hpro_LT
DB08884	na1
DB08913	cl
DB08938	h2o
DB08938	oh1
DB08944	cit
DB08986	cl
DB08990	cl
DB09015	k
