drugbank_id	chembl_id
DB00290	CHEMBL3306293
DB00290	CHEMBL403664
DB00290	CHEMBL439180
DB00291	CHEMBL515
DB00292	CHEMBL23731
DB00292	CHEMBL279678
DB00292	CHEMBL681
DB00293	CHEMBL140144
DB00293	CHEMBL225071
DB00293	CHEMBL290718
DB00294	CHEMBL1531
DB00294	CHEMBL1697750
DB00294	CHEMBL430483
DB00295	CHEMBL1888905
DB00295	CHEMBL2133708
DB00295	CHEMBL2139208
DB00295	CHEMBL70
DB00296	CHEMBL1077896
DB00296	CHEMBL1889140
DB00297	CHEMBL1098
DB00297	CHEMBL1200396
DB00297	CHEMBL1200749
DB00297	CHEMBL1201193
DB00297	CHEMBL189827
DB00297	CHEMBL2447962
DB00298	CHEMBL1201044
DB00298	CHEMBL1201216
DB00299	CHEMBL1540
DB00299	CHEMBL2079793
DB00300	CHEMBL315593
DB00300	CHEMBL483
DB00300	CHEMBL483891
DB00301	CHEMBL1398507
DB00301	CHEMBL1439043
DB00301	CHEMBL1481373
DB00301	CHEMBL1620722
DB00301	CHEMBL1622855
DB00301	CHEMBL1741935
DB00301	CHEMBL1742950
DB00301	CHEMBL222645
DB00301	CHEMBL283053
DB00301	CHEMBL3187256
DB00302	CHEMBL292500
DB00302	CHEMBL877
DB00303	CHEMBL1232
DB00303	CHEMBL1359
DB00303	CHEMBL521190
DB00304	CHEMBL1533
DB00304	CHEMBL1697756
DB00305	CHEMBL105
DB00305	CHEMBL1354559
DB00305	CHEMBL13829
DB00305	CHEMBL149478
DB00305	CHEMBL1518783
DB00305	CHEMBL38808
DB00305	CHEMBL518494
DB00306	CHEMBL1200802
DB00307	CHEMBL1023
DB00308	CHEMBL1200564
DB00308	CHEMBL13332
DB00308	CHEMBL2355456
DB00308	CHEMBL276009
DB00308	CHEMBL3187455
DB00308	CHEMBL533
DB00309	CHEMBL2105882
DB00309	CHEMBL219146
DB00310	CHEMBL1055
DB00310	CHEMBL255014
DB00310	CHEMBL402262
DB00311	CHEMBL18
DB00312	CHEMBL448
DB00313	CHEMBL109
DB00313	CHEMBL3183396
DB00314	CHEMBL1201252
DB00314	CHEMBL1527884
DB00314	CHEMBL1609716
DB00314	CHEMBL1623662
DB00314	CHEMBL2218913
DB00314	CHEMBL2221250
DB00314	CHEMBL266974
DB00314	CHEMBL3184671
DB00314	CHEMBL3187605
DB00314	CHEMBL503551
DB00315	CHEMBL1185
DB00315	CHEMBL120768
DB00316	CHEMBL112
DB00317	CHEMBL939
DB00318	CHEMBL1907378
DB00318	CHEMBL22662
DB00318	CHEMBL2448883
DB00318	CHEMBL485
DB00318	CHEMBL612012
DB00319	CHEMBL1200820
DB00319	CHEMBL1204864
DB00319	CHEMBL1204939
DB00319	CHEMBL1204942
DB00319	CHEMBL1204971
DB00319	CHEMBL1204975
DB00319	CHEMBL1204987
DB00319	CHEMBL1205008
DB00319	CHEMBL1206533
DB00319	CHEMBL1206557
DB00319	CHEMBL1206603
DB00319	CHEMBL1206640
DB00319	CHEMBL1206734
DB00319	CHEMBL1207491
DB00319	CHEMBL1207704
DB00319	CHEMBL1207720
DB00319	CHEMBL1367837
DB00319	CHEMBL1616926
DB00319	CHEMBL1742014
DB00319	CHEMBL1742952
