drugbank_id	fdasrs_id
DB00485	4HZT2V9KX0
DB00485	COF19H7WBK
DB00487	2H52Z9F2Q5
DB00487	5IAD0UV3FH
DB00487	CX28QC6FU0
DB00488	Q8BIH59O7H
DB00489	2328OK6Q6P
DB00489	HO7QAP3XEF
DB00490	207LT9J9OC
DB00490	TK65WKS8HL
DB00491	0V5436JAQW
DB00492	NW2RTH6T2N
DB00492	R43D2573WO
DB00493	258J72S7TZ
DB00493	5KTC59K32X
DB00493	N2GI8B1GK7
DB00494	4975G9NM6T
DB00494	4X96VV9HUQ
DB00495	4B9XT59T7S
DB00496	APG9819VLM
DB00496	CR02EYQ8GV
DB00497	4P6424D07T
DB00497	C1ENJ2TE6C
DB00497	CD35PMG570
DB00497	M04XWV43UF
DB00498	5M7Y6274ZE
DB00499	76W6J0943E
DB00500	02N1TZF99F
DB00500	D8K2JPN18B
DB00500	WL259637KX
DB00501	80061L1WGD
DB00501	WF10491673
DB00502	J6292F8L3D
DB00502	UM06W2ADRY
DB00503	2TJ3KVE30D
DB00503	4KM8A47XII
DB00503	4OP127JDQD
DB00503	O3J8G9O825
DB00504	353613BU4U
DB00504	U0VSF7HTN0
DB00507	SOA12P041N
DB00508	17EKO3WVAY
DB00508	9E75N4A5HM
DB00508	RO16TQF95Y
DB00509	054I36CPMN
DB00509	0H00N2AHSP
DB00509	4W9K63FION
DB00509	J60FX7V025
DB00509	Q51BO43MG4
DB00511	0ZV4Q4L2FU
DB00512	6Q205EH1VU
DB00512	71WO621TJD
DB00513	6F7MVZ49RC
DB00513	U6F3787206
DB00514	086F8ZEM77
DB00514	351KFH969D
DB00514	7355X3ROTS
DB00514	7ZZ22K9QE6
DB00514	9D2RTI9KYH
DB00514	9YNW43KIJI
DB00514	B2F298X1AJ
DB00514	X5M0KIH62F
DB00514	Z0CG3115FG
DB00515	Q32ZN48698
DB00515	QTT17582CB
DB00516	059QF0KO0R
DB00516	63M8RYN44N
DB00516	7QV8F8BYNJ
DB00516	9159UV381P
DB00516	CPD4NFA903
DB00516	J65BV539M3
DB00517	3IY7CNP8XJ
DB00517	62M960DHIL
DB00517	704G17JK68
DB00517	952902IX06
DB00517	C684AL3ZG7
DB00517	KQ7PNA8VW2
DB00517	LTM112Q284
DB00517	Z5W1X83FUI
DB00518	F4216019LN
DB00519	1T0N3G9CRC
DB00519	3EY8XK2J4T
DB00519	7U47129S2I
DB00519	QMI2CZ2C4P
DB00519	R07Y89H0HB
DB00520	VUW370O5QE
DB00522	239IF5W61J
DB00523	1UA8E65KDZ
DB00523	5688UTC01R
DB00523	7A9179CU3G
DB00523	EH28UP18IF
DB00525	06KB629TKV
DB00526	9E7R5L6H31
DB00527	L6JW2TJG99
DB00527	Z97702A5DG
DB00529	364P9RVW4X
DB00529	8C5OQ81LWT
DB00529	964YS0OOG1
DB00530	DA87705X9K
DB00530	J4T82NDH7E
DB00532	AB8E1O1L3L
DB00532	D9818430MW
DB00533	0QTW8Z7MCR
DB00534	Q32ZN48698
DB00534	QTT17582CB
DB00535	61G2M33IGF
DB00535	6E7SN358SE
DB00535	CI0FAO63WC
DB00536	JU58VJ6Y3B
DB00537	5E8K9I0O4U
DB00538	AZV954TZ9N
DB00538	N78PI4C683
DB00538	RLM74T3Z9D
DB00539	2498Y783QT
DB00539	7NFE54O27T
DB00540	00FN6IH15D
DB00540	BL03SY4LXB
DB00541	5J49Q6B70F
DB00541	T5IRO3534A
DB00542	0ZV52P36A9
DB00542	N1SN99T69T
DB00542	UDM7Q7QWP8
DB00542	ZGK2LDW9PT
DB00543	R63VQ857OT
DB00544	Q0E5J9OQ9O
DB00544	U3P01618RT
DB00545	19QM69HH21
DB00545	45X1P9AO69
DB00545	BL3453VM4W
DB00545	KVI301NA53
DB00545	ZUU7C0870L
DB00546	KN08449444
DB00546	NT8S62A727
DB00547	4E07GXB7AU
DB00548	F2VW3D43YT
DB00549	XZ629S5L50
DB00550	721M9407IY
DB00551	4RZ82L2GY5
DB00552	395575MZO7
DB00553	U4VJ29L7BQ
DB00554	13T4O6VMAM
DB00554	28MQO4N66D
DB00554	S5XT2DB4P6
DB00554	T4O2MP4507
DB00555	U3H27498KS
DB00556	CK0N3WH0SR
DB00558	4T35I32653
DB00558	L6O3XI777I
DB00559	Q326023R30
DB00559	XUL93R30K2
DB00560	70JE2N95KR
DB00562	1TD8J48L61
DB00563	W12798130R
DB00563	YL5FZ2Y5U1
DB00564	33CM23913M
DB00564	78M1RMW7Q8
DB00565	685928Z18A
DB00565	80YS8O1MBS
DB00565	81NKC0O7PC
DB00565	I61915ADYP
DB00565	QX62KLI41N
DB00565	U9F134D6NW
DB00565	UU07RTA53X
DB00566	494JNQ8L28
DB00566	DX1U2629QE
DB00566	K853KBN17Q
DB00567	5SFF1W6677
DB00567	6VJE5G3D98
DB00567	F78YJG0WXK
DB00567	MT4YEC9GUQ
DB00567	OBN7UDS42Y
DB00567	PH006XJI3D
DB00568	3DI2E1X18L
DB00568	5AKM4OA6VO
DB00568	8RJ419895I
DB00569	18HB6B1L37
DB00569	J177FOW5JL
DB00569	LYR4M0NH37
DB00569	UR0T0B24E9
DB00569	X0Q6N9USOZ
DB00570	3D8VFG675W
DB00570	4944BQ2GBF
DB00570	5V9KLZ54CY
DB00570	N00W22YO2B
DB00571	74MLR03FLC
DB00571	AB9DB0NX46
DB00571	PG6KY07UD7
DB00571	YP6GDU0L78
DB00572	F2R8V82B84
DB00572	IWT50P9S79
DB00572	PX44XO846X
DB00574	7B013935Z2
DB00574	953A94Y45B
DB00574	E35R3G56OV
